date,E_NF@KAU.M,UR@KAU.M,VIS@KAU.M,VDAY@KAU.M,ECT@KAU.M
1972-01-01,9.97876440677966,,,,0.5996118139953691
1972-02-01,9.986054237288135,,,,0.6001870710264244
1972-03-01,9.985901553672317,,,,0.599845324397596
1972-04-01,10.040952118644068,,,,0.6024140048779292
1972-05-01,10.078843644067797,,,,0.6028902090234174
1972-06-01,10.166838135593219,,,,0.6070550350708455
1972-07-01,10.17677231638418,,,,0.6121821793429085
1972-08-01,10.222808050847458,,,,0.6155174613395752
1972-09-01,10.228944632768362,,,,0.6268470840137558
1972-10-01,10.294468644067797,,,,0.6296123045365768
1972-11-01,10.37300324858757,,,,0.6400386897956438
1972-12-01,10.389168220338982,,,,0.6405618277600614
1973-01-01,10.507547672968775,,,,0.6679875881431497
1973-02-01,10.592093974401383,,,,0.6856585994624277
1973-03-01,10.659673556579047,,,,0.6960646729299186
1973-04-01,10.423886109061298,,,,0.6937804880488514
1973-05-01,10.670489554441588,,,,0.6989450177280754
1973-06-01,10.687913333672611,,,,0.7010460805196809
1973-07-01,10.667071398763325,,,,0.7122889629469499
1973-08-01,10.697501799027963,,,,0.710764208202677
1973-09-01,10.756021799536882,,,,0.7167779349098373
1973-10-01,10.859934385098857,,,,0.7372265268557068
1973-11-01,10.872206445456627,,,,0.7284863491814879
1973-12-01,10.872568828723375,,,,0.7325246348587646
1974-01-01,10.561400486279958,,,,0.8569111544710132
1974-02-01,10.521612067682229,,,,0.8503209138243172
1974-03-01,10.469587654443506,,,,0.8405970836784623
1974-04-01,10.45152423956731,,,,0.8324045234962271
1974-05-01,10.56245482062224,,,,0.8523724717147826
1974-06-01,10.80024214757108,,,,0.8719362748916379
1974-07-01,10.751234654890089,,,,0.8727802304759641
1974-08-01,10.769440976529548,,,,0.8781516621897171
1974-09-01,10.82663543889247,,,,0.8735496828554734
1974-10-01,10.769494963529002,,,,0.8780384469995623
1974-11-01,10.767694338311912,,,,0.8730740176455215
1974-12-01,10.771498833920507,,,,0.8653057666092113
1975-01-01,11.478567284925976,,,,0.9129447713407858
1975-02-01,11.52011376619588,,,,0.9103802293874131
1975-03-01,11.579875323917639,,,,0.9099327030298734
1975-04-01,11.591244942509174,,,,0.9016411141032167
1975-05-01,11.58617937136884,,,,0.8964077358123185
1975-06-01,11.575642171281327,,,,0.8715338380092003
1975-07-01,11.615046697620144,,,,0.8613906369612844
1975-08-01,11.652018260932978,,,,0.8669305708274613
1975-09-01,11.639663952159854,,,,0.8477355721859412
1975-10-01,11.652495378856015,,,,0.828618467654701
1975-11-01,11.677708184845757,,,,0.8128372666142155
1975-12-01,11.655002785813256,,,,0.7894198018926882
1976-01-01,12.122242207001882,,,,0.853191690910827
1976-02-01,12.146564522826525,,,,0.8430746666747749
1976-03-01,12.171334186096459,,,,0.8302969071110283
1976-04-01,12.282773013865354,,,,0.8282142519124756
1976-05-01,12.27957465575257,,,,0.8142438032393398
1976-06-01,12.350336567787506,,,,0.7976943786043099
1976-07-01,12.328346094551701,,,,0.7887305459094761
1976-08-01,12.328335527289214,,,,0.7793492688124906
1976-09-01,12.337758003006943,,,,0.7871157950412578
1976-10-01,12.41337733336515,,,,0.7896205144335398
1976-11-01,12.433518535665701,,,,0.7912626846744396
1976-12-01,12.475745316564444,,,,0.7918471840823982
1977-01-01,12.934524889290763,,,,0.715499726434389
1977-02-01,12.911723516728106,,,,0.7089812962628983
1977-03-01,12.935087303795413,,,,0.7026546449681274
1977-04-01,12.994329507778627,,,,0.7067572521912319
1977-05-01,13.039271869421064,,,,0.7087740969294759
1977-06-01,13.049689237439427,,,,0.7070611696780942
1977-07-01,13.075498620481786,,,,0.7023138159835427
1977-08-01,13.101387830098998,,,,0.7021057217220266
1977-09-01,13.067490563631726,,,,0.654503507223687
1977-10-01,13.100368227029282,,,,0.633727136326382
1977-11-01,13.084268658273631,,,,0.6177710962055551
1977-12-01,13.22411393197468,,,,0.646894004707989
1978-01-01,13.250862757569736,,,,0.6617791526238131
1978-02-01,13.350621537578128,,,,0.6668367377913265
1978-03-01,13.421891278517636,,,,0.6733059752018952
1978-04-01,13.486539203604321,,,,0.6819538769879334
1978-05-01,13.555245076083835,,,,0.6820560149192804
1978-06-01,13.656283977119637,,,,0.6934695769904264
1978-07-01,13.738842717374503,,,,0.6975868324484329
1978-08-01,13.800288526690078,,,,0.7198624505964458
1978-09-01,13.876780291084168,,,,0.7349477667851075
1978-10-01,13.96267895050686,,,,0.7415817468034829
1978-11-01,14.040033799333026,,,,0.7417545311872465
1978-12-01,14.061404205039866,,,,0.7564841706561405
1979-01-01,14.041789666257772,,,,0.8887065653339794
1979-02-01,14.18362731694937,,,,0.892628044533933
1979-03-01,14.217111979188699,,,,0.9033120459471825
1979-04-01,14.208977348673915,,,,0.900317385287303
1979-05-01,14.24525693075589,,,,0.9093619703858467
1979-06-01,14.264386362675015,,,,0.9023200191478413
1979-07-01,14.313023768030117,,,,0.9332039748023133
1979-08-01,14.407855289539361,,,,0.945035984019916
1979-09-01,14.440549689099445,,,,0.9677119816682229
1979-10-01,14.420713370838797,,,,0.9782639793302931
1979-11-01,14.266981904318769,,,,0.9765065916125558
1979-12-01,14.413949012309125,,,,0.9728489403229146
1980-01-01,15.054682880003298,,,,1.4423317741724815
1980-02-01,15.111102526137792,,,,1.487475385388426
1980-03-01,15.161696780978696,,,,1.4682156615355806
1980-04-01,15.221893741364731,,,,1.4482418516743725
1980-05-01,15.154415979625924,,,,1.443807657590235
1980-06-01,15.132104693460912,,,,1.4424544181107428
1980-07-01,15.222017526240899,,,,1.4165854433439162
1980-08-01,15.188385550491821,,,,1.4144377773595724
1980-09-01,15.007989724290102,,,,1.1971735922856177
1980-10-01,15.196349044191944,,,,1.3606536048801336
1980-11-01,15.223866797269705,,,,1.3722081473542214
1980-12-01,15.233600789804711,,,,1.3688824653439386
1981-01-01,15.292100502316005,,,,1.1686080885246237
1981-02-01,15.251239343283583,,,,1.1612280058639743
1981-03-01,15.276244776119402,,,,1.1356706357670563
1981-04-01,15.238557774575398,,,,1.1319646032447788
1981-05-01,15.272754332475552,,,,1.110687744283796
1981-06-01,15.256936259392692,,,,1.1032141153484971
1981-07-01,15.236532037056099,,,,1.1001910573803289
1981-08-01,15.204752809058158,,,,1.0892613848075337
1981-09-01,15.233704288214101,,,,1.0837984733578374
1981-10-01,15.236347536798764,,,,1.0706223088421878
1981-11-01,15.211263032424085,,,,1.0472145955371928
1981-12-01,15.149643711785897,,,,1.0090619677834902
1982-01-01,15.187780482410384,,,,0.8800170411806139
1982-02-01,15.176191804031216,,,,0.8513906227061333
1982-03-01,15.179389596461212,,,,0.8403159804833711
1982-04-01,15.155848078287361,,,,0.8237418532818986
1982-05-01,15.15418659182907,,,,0.8160363003913584
1982-06-01,15.17693530025456,,,,0.8037060134643151
1982-07-01,15.110764136376915,,,,0.7929867951410255
1982-08-01,15.138102795977133,,,,0.7812411061736975
1982-09-01,15.135265371614572,,,,0.7712114291717411
1982-10-01,15.127629361932982,,,,0.7657406838631478
1982-11-01,15.13148340358052,,,,0.7574873080780617
1982-12-01,15.14266619371531,,,,0.7999568990718561
1983-01-01,15.599281861075783,,,,1.048354736321611
1983-02-01,15.605052018627172,,,,1.042114055555116
1983-03-01,15.609419357485743,,,,1.0427840261261974
1983-04-01,15.579820658105284,,,,1.031911417460301
1983-05-01,15.553136101423709,,,,1.0245173288340301
1983-06-01,15.581576119066183,,,,1.0120241921258055
1983-07-01,15.834645386288107,,,,1.0175339407112314
1983-08-01,15.882988378533625,,,,1.0276813158156621
1983-09-01,15.852064364255531,,,,1.031944431665304
1983-10-01,15.921205499938457,,,,1.0334357121202442
1983-11-01,15.912730459935176,,,,1.0241737296786357
1983-12-01,15.923987886185534,,,,1.0023489227899103
1984-01-01,15.6199651043034,,,,0.7015461500782422
1984-02-01,15.639320878854582,,,,0.6947235475272613
1984-03-01,15.623173264807448,,,,0.6885801186284246
1984-04-01,15.69285634201014,,,,0.6968438657255027
1984-05-01,15.800671134312084,,,,0.6984178208040955
1984-06-01,15.774593862961693,,,,0.6864918377270283
1984-07-01,15.74327901209637,,,,0.6748665566202549
1984-08-01,15.727528126577678,,,,0.6295551628141367
1984-09-01,15.707947284880554,,,,0.6031196990060403
1984-10-01,15.736126454492217,,,,0.5365142676316623
1984-11-01,16.03203253094772,,,,0.5569874600593122
1984-12-01,15.809654746662899,,,,0.5783216254624153
1985-01-01,16.40294897827363,,,,0.6619150744982162
1985-02-01,16.501625496183205,,,,0.7370684410552979
1985-03-01,16.539471332941865,,,,0.7480813260930019
1985-04-01,16.587483769817965,,,,0.7475155552380738
1985-05-01,16.611973176746915,,,,0.7563192615667188
1985-06-01,16.595336564885496,,,,0.764795887552903
1985-07-01,16.759451732237228,,,,0.7821090974072994
1985-08-01,16.82376294186729,,,,0.7902463523202636
1985-09-01,16.95855681738109,,,,0.7926022596967024
1985-10-01,16.91231214327657,,,,0.7971352495602047
1985-11-01,16.95637264826776,,,,0.7953924715547689
1985-12-01,16.974509894304166,,,,0.7976832143721285
1986-01-01,17.658732304710508,,,,0.8129423520013972
1986-02-01,17.651901590438367,,,,0.8093343400971325
1986-03-01,17.70868803085868,,,,0.8020710818570859
1986-04-01,17.6939235563494,,,,0.7952158176778489
1986-05-01,17.765413190947612,,,,0.8139287340283891
1986-06-01,17.844791646873276,,,,0.8250736386828716
1986-07-01,17.94028274459878,,,,0.8570656183989935
1986-08-01,18.007396963535825,,,,0.8875717378363054
1986-09-01,18.07086704543295,,,,0.9165084535957894
1986-10-01,18.14450149162977,,,,0.9275642840134155
1986-11-01,18.20022982499477,,,,0.922911121478941
1986-12-01,18.305917969863376,,,,0.9468760865467954
1987-01-01,18.90987820998279,,,,0.963817848207034
1987-02-01,18.937289363166954,,,,0.965247903205294
